flux;annee;nc8_code;pays;valeur_euro;masse_kg
E;2018;7020000;Emirats arabes unis;10561;2408
E;2018;7020000;Autriche;872576;870158
E;2018;7020000;Belgique;1283611;1217665
E;2018;7020000;Suisse;2291415;1363268
E;2018;7020000;Tchèque (République);1149432;804771
E;2018;7020000;Allemagne;11953741;7383999
E;2018;7020000;Danemark;510673;471554
E;2018;7020000;Estonie;15830;16483
E;2018;7020000;Espagne;2829639;2195329
E;2018;7020000;Finlande;331466;163216
E;2018;7020000;Royaume-Uni;4053716;2562687
E;2018;7020000;Ghana;262;138
E;2018;7020000;Hong Kong;3622;609
E;2018;7020000;Croatie;2121;704
E;2018;7020000;Hongrie;8025;7323
E;2018;7020000;Irlande;19140;13750
E;2018;7020000;Italie;1795511;2219195
E;2018;7020000;Lituanie;224092;223676
E;2018;7020000;Luxembourg;308330;135688
E;2018;7020000;Lettonie;171;102
E;2018;7020000;Malte;220;154
E;2018;7020000;Pays-Bas;6008227;4428902
E;2018;7020000;Norvège;238344;171290
E;2018;7020000;Pologne;2556716;2415865
E;2018;7020000;Roumanie;116884;82671
E;2018;7020000;Suède;2258822;1318927
E;2018;7020000;Singapour;153;23
E;2018;7020000;Slovénie;2939;1361
E;2018;7020000;Slovaquie;108561;80742
E;2018;7020000;Sénégal;545;300
E;2018;7020000;Sint-Maarten (partie néerlandaise);240;72
E;2018;7020000;Tchad;2589;950
E;2018;7020000;Turquie;12;2
E;2018;7020000;Ukraine;44361;21827
E;2018;7020000;Emirats arabes unis;4644;1645
E;2018;7020000;Autriche;603282;627661
E;2018;7020000;Belgique;551563;481529
E;2018;7020000;Saint-Barthélemy;82;22
E;2018;7020000;Suisse;1611828;983940
E;2018;7020000;Tchèque (République);1070546;795702
E;2018;7020000;Allemagne;7827098;4992439
E;2018;7020000;Djibouti;885;300
E;2018;7020000;Danemark;552210;534291
E;2018;7020000;Estonie;32596;27566
E;2018;7020000;Espagne;2212252;2260099
E;2018;7020000;Finlande;470707;220141
E;2018;7020000;Royaume-Uni;3579692;2209946
E;2018;7020000;Ghana;167;93
E;2018;7020000;Hong Kong;2608;395
E;2018;7020000;Hongrie;529;132
E;2018;7020000;Irlande;27624;18862
E;2018;7020000;Italie;1584109;2032918
E;2018;7020000;Lituanie;86521;77353
E;2018;7020000;Luxembourg;278088;117385
E;2018;7020000;Lettonie;141;93
E;2018;7020000;Mali;35;4
E;2018;7020000;Pays-Bas;2591002;2396877
E;2018;7020000;Norvège;298010;164838
E;2018;7020000;Pologne;1539041;1371274
E;2018;7020000;Portugal;16;8
E;2018;7020000;Roumanie;119101;82571
E;2018;7020000;Suède;2354362;1332380
E;2018;7020000;Slovénie;3579;3205
E;2018;7020000;Slovaquie;207961;174977
E;2018;7020000;Sint-Maarten (partie néerlandaise);705;126
E;2018;7020000;Tchad;2656;950
E;2018;7020000;Ukraine;4921;2021
E;2018;7020000;Emirats arabes unis;5733;2675
E;2018;7020000;Autriche;603261;592360
E;2018;7020000;Belgique;734304;527161
E;2018;7020000;Suisse;1010690;564320
E;2018;7020000;Tchèque (République);1795440;1375302
E;2018;7020000;Allemagne;7822263;4613844
E;2018;7020000;Danemark;189170;124723
E;2018;7020000;Estonie;50700;30449
E;2018;7020000;Espagne;3855808;4068577
E;2018;7020000;Finlande;99605;44877
E;2018;7020000;Royaume-Uni;2967191;1693313
E;2018;7020000;Hong Kong;4389;695
E;2018;7020000;Hongrie;813;254
E;2018;7020000;Irlande;46880;27786
E;2018;7020000;Italie;2102796;2521132
E;2018;7020000;Liberia;62;20
E;2018;7020000;Lituanie;102359;101363
E;2018;7020000;Luxembourg;273219;110062
E;2018;7020000;Lettonie;114;57
E;2018;7020000;Malte;34351;31896
E;2018;7020000;Pays-Bas;2604393;1985251
E;2018;7020000;Norvège;77131;38356
E;2018;7020000;Pologne;1301201;848372
E;2018;7020000;Portugal;1604;2971
E;2018;7020000;Qatar;7826;729
E;2018;7020000;Roumanie;91981;61585
E;2018;7020000;Suède;1884514;1036823
E;2018;7020000;Singapour;132;60
E;2018;7020000;Slovénie;4518;3662
E;2018;7020000;Slovaquie;85841;71675
E;2018;7020000;Sint-Maarten (partie néerlandaise);968;132
E;2018;7020000;Tchad;2288;1150
E;2018;7020000;Thaïlande;1;4
E;2018;7020000;Ukraine;10007;4186
E;2018;7020000;Emirats arabes unis;21370;5994
E;2018;7020000;Autriche;17416;12038
E;2018;7020000;Belgique;219953;89639
E;2018;7020000;Suisse;428647;226451
E;2018;7020000;Tchèque (République);666433;432542
E;2018;7020000;Allemagne;3942705;2146782
E;2018;7020000;Djibouti;12;3
E;2018;7020000;Danemark;120624;85680
E;2018;7020000;Estonie;52;17
E;2018;7020000;Espagne;2724582;2374323
E;2018;7020000;Finlande;2760;496
E;2018;7020000;Royaume-Uni;2529138;1168164
E;2018;7020000;Grèce;219;46
E;2018;7020000;Hong Kong;3430;511
E;2018;7020000;Hongrie;763;192
E;2018;7020000;Irlande;36931;18100
E;2018;7020000;Italie;716784;438558
E;2018;7020000;Lituanie;8967;8713
E;2018;7020000;Luxembourg;270749;88841
E;2018;7020000;Pays-Bas;439643;346853
E;2018;7020000;Norvège;5699;3114
E;2018;7020000;Pologne;108518;68602
E;2018;7020000;Portugal;158;53
E;2018;7020000;Suède;1067305;464461
E;2018;7020000;Singapour;380;43
E;2018;7020000;Slovénie;2360;854
E;2018;7020000;Slovaquie;30684;23475
E;2018;7020000;Sint-Maarten (partie néerlandaise);485;98
E;2018;7020000;Tchad;2796;980
E;2018;7020000;Ukraine;12088;5904
E;2018;7020000;Emirats arabes unis;10055;1985
E;2018;7020000;Autriche;3317;1594
E;2018;7020000;Belgique;278301;104892
E;2018;7020000;Suisse;414318;219232
E;2018;7020000;Côte-d'Ivoire;81;4
E;2018;7020000;Tchèque (République);574988;393982
E;2018;7020000;Allemagne;3047089;1634531
E;2018;7020000;Danemark;65886;60760
E;2018;7020000;Egypte;286;20
E;2018;7020000;Espagne;1851051;1353452
E;2018;7020000;Finlande;2826;622
E;2018;7020000;Royaume-Uni;4348268;1902516
E;2018;7020000;Ghana;275;94
E;2018;7020000;Grèce;306;205
E;2018;7020000;Hong Kong;3234;462
E;2018;7020000;Hongrie;533;158
E;2018;7020000;Irlande;36093;18768
E;2018;7020000;Italie;171756;123362
E;2018;7020000;Lituanie;8791;8684
E;2018;7020000;Luxembourg;340751;116496
E;2018;7020000;Pays-Bas;136295;105254
E;2018;7020000;Norvège;397;168
E;2018;7020000;Pologne;48705;35337
E;2018;7020000;Portugal;343;104
E;2018;7020000;Suède;1962640;895624
E;2018;7020000;Slovénie;2117;799
E;2018;7020000;Slovaquie;4479;4296
E;2018;7020000;Emirats arabes unis;12016;2662
E;2018;7020000;Autriche;3608;1407
E;2018;7020000;Belgique;374445;159249
E;2018;7020000;Suisse;253638;184733
E;2018;7020000;Côte-d'Ivoire;158;33
E;2018;7020000;Tchèque (République);183068;116299
E;2018;7020000;Allemagne;1615554;832215
E;2018;7020000;Danemark;13244;5821
E;2018;7020000;Estonie;67;26
E;2018;7020000;Espagne;745385;878165
E;2018;7020000;Finlande;34112;15316
E;2018;7020000;Royaume-Uni;925792;355239
E;2018;7020000;Grèce;555;388
E;2018;7020000;Hong Kong;3741;601
E;2018;7020000;Hongrie;1740;795
E;2018;7020000;Irlande;34612;12359
E;2018;7020000;Italie;147442;86128
E;2018;7020000;Lituanie;13129;12887
E;2018;7020000;Luxembourg;491695;170646
E;2018;7020000;Lettonie;10;5
E;2018;7020000;Macao;29;7
E;2018;7020000;Pays-Bas;101600;94213
E;2018;7020000;Norvège;55055;25892
E;2018;7020000;Pologne;125000;124568
E;2018;7020000;Portugal;129;42
E;2018;7020000;Suède;70449;34455
E;2018;7020000;Singapour;1228;467
E;2018;7020000;Slovénie;3634;1595
E;2018;7020000;Slovaquie;2932;3216
E;2018;7020000;Sint-Maarten (partie néerlandaise);28;7
E;2018;7020000;Emirats arabes unis;4205;1420
E;2018;7020000;Autriche;106873;121957
E;2018;7020000;Belgique;383408;170014
E;2018;7020000;Suisse;358192;198567
E;2018;7020000;Tchèque (République);525543;593516
E;2018;7020000;Allemagne;4343374;2828130
E;2018;7020000;Danemark;27680;27518
E;2018;7020000;Estonie;15512;13474
E;2018;7020000;Espagne;1501904;1462641
E;2018;7020000;Finlande;217900;119498
E;2018;7020000;Gabon;55;21
E;2018;7020000;Royaume-Uni;1919458;841951
E;2018;7020000;Grèce;284;55
E;2018;7020000;Hong Kong;2719;396
E;2018;7020000;Hongrie;559;165
E;2018;7020000;Irlande;33767;17010
E;2018;7020000;Italie;264433;210433
E;2018;7020000;Lituanie;73347;69612
E;2018;7020000;Luxembourg;414599;145470
E;2018;7020000;Lettonie;6;5
E;2018;7020000;Pays-Bas;237703;201095
E;2018;7020000;Norvège;7447;3694
E;2018;7020000;Polynésie française;457;144
E;2018;7020000;Pologne;186256;196615
E;2018;7020000;Portugal;320;111
E;2018;7020000;Roumanie;43;25
E;2018;7020000;Suède;846059;516424
E;2018;7020000;Singapour;1386;392
E;2018;7020000;Slovénie;2499;1067
E;2018;7020000;Slovaquie;15445;34655
E;2018;7020000;Sint-Maarten (partie néerlandaise);158;18
E;2018;7020000;Emirats arabes unis;5766;1624
E;2018;7020000;Autriche;448513;536668
E;2018;7020000;Belgique;454955;211024
E;2018;7020000;Suisse;1161763;570385
E;2018;7020000;Côte-d'Ivoire;270;46
E;2018;7020000;Tchèque (République);788212;919916
E;2018;7020000;Allemagne;7247455;4942825
E;2018;7020000;Danemark;59298;58422
E;2018;7020000;Estonie;55964;37426
E;2018;7020000;Espagne;2687047;1639616
E;2018;7020000;Finlande;241848;463875
E;2018;7020000;Royaume-Uni;2624393;1253514
E;2018;7020000;Grèce;35;7
E;2018;7020000;Hong Kong;3490;1181
E;2018;7020000;Hongrie;727;232
E;2018;7020000;Irlande;38122;15698
E;2018;7020000;Italie;1003376;1240037
E;2018;7020000;Lituanie;26627;24342
E;2018;7020000;Luxembourg;474906;142389
E;2018;7020000;Lettonie;36;20
E;2018;7020000;Malte;60;24
E;2018;7020000;Pays-Bas;1019923;505483
E;2018;7020000;Norvège;1610;549
E;2018;7020000;Pologne;280434;315134
