,duree,annee,periode,geog,label,quantite,S_dep,nbr_act,penet,nbr_ach,BIO,pays
605,A,2005,A,65 ANS ET PLUS,TOMATE,99922624.55,210599649.4,125054495.9,96.2,6060011.676,NON BIO,FRANCE
606,A,2005,A,65 ANS ET PLUS,TOMATE ALLONGEE,6818475.673,15263912.44,9492104.865,39.0,2455181.134,NON BIO,FRANCE
607,A,2005,A,65 ANS ET PLUS,TOMATE BIO,2020979.809,4952849.297,2405906.757,13.6,859140.8799,BIO,FRANCE
608,A,2005,A,65 ANS ET PLUS,TOMATE CERISE ALLONGEE,4263996.533,20589751.01,10705950.74,39.3,2476021.689,NON BIO,FRANCE
609,A,2005,A,65 ANS ET PLUS,TOMATE GRAPPE,36319805.6,78932438.95,47227632.69,84.7,5333507.394,NON BIO,FRANCE
610,A,2005,A,65 ANS ET PLUS,TOMATE,97901638.44,205646800.1,122790644.9,95.7,6027094.931,NON BIO,FRANCE
611,A,2005,A,65 ANS ET PLUS,TOMATE PREEMB,16279111.93,37747333.28,20862749.69,62.3,3924471.774,NON BIO,FRANCE
612,A,2005,A,65 ANS ET PLUS,TOMATE RONDE,52257831.3,95244694.29,61146976.71,89.3,5625501.835,NON BIO,FRANCE
613,A,2005,A,65 ANS ET PLUS,TOMATE RONDE GROSSE,26999518.84,52359874.47,30532521.87,75.0,4725315.765,NON BIO,FRANCE
614,A,2005,A,65 ANS ET PLUS,TOMATE RONDE PETITE,20861754.89,36116821.11,26914236.26,74.5,4693167.162,NON BIO,FRANCE
615,A,2005,A,65 ANS ET PLUS,TOMATE VRAC,83643506.32,172852316.1,105768135.9,95.0,5979212.024,NON BIO,FRANCE
7935,A,2005,A,DE 35 A 49 ANS,TOMATE,104558295.8,218998367.7,107972153.4,94.1,6946183.177,NON BIO,FRANCE
7936,A,2005,A,DE 35 A 49 ANS,TOMATE ALLONGEE,3764078.627,7783351.403,4876190.586,28.1,2075684.901,NON BIO,FRANCE
7937,A,2005,A,DE 35 A 49 ANS,TOMATE BIO,1230616.842,3110614.75,1132703.206,6.5,479076.9023,BIO,FRANCE
7938,A,2005,A,DE 35 A 49 ANS,TOMATE CERISE ALLONGEE,5819002.471,28754728.88,13854572.67,46.9,3463094.977,NON BIO,FRANCE
7939,A,2005,A,DE 35 A 49 ANS,TOMATE GRAPPE,43207503.5,90775980.8,44021717.91,81.4,6007025.887,NON BIO,FRANCE
7940,A,2005,A,DE 35 A 49 ANS,TOMATE,103327671.6,215887752.9,106910091.0,93.9,6934473.704,NON BIO,FRANCE
7941,A,2005,A,DE 35 A 49 ANS,TOMATE PREEMB,25187370.87,59116771.14,29966349.21,69.6,5139542.974,NON BIO,FRANCE
7942,A,2005,A,DE 35 A 49 ANS,TOMATE RONDE,51700267.32,91552401.52,50406112.2,85.2,6292881.726,NON BIO,FRANCE
